start,startPosition,end,endPosition,frequency
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",99,"[121.933197021484, 140.269653320313, 171.596832275391]",1
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",101,"[130.231506347656, 114.29305267334, 183.052642822266]",1
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",102,"[135.048889160156, 103.178604125977, 186.348114013672]",5
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",103,"[138.054092407227, 90.9049072265625, 185.148300170898]",2
20,"[139.903259277344, 145.456604003906, 83.0818939208984]",104,"[139.82746887207, 80.8504486083984, 184.762222290039]",6
21,"[143.370513916016, 148.862396240234, 92.4859619140625]",13,"[141.510070800781, 183.282073974609, 121.512069702148]",1
21,"[143.370513916016, 148.862396240234, 92.4859619140625]",48,"[162.016784667969, 110.453544616699, 141.470611572266]",1
21,"[143.370513916016, 148.862396240234, 92.4859619140625]",55,"[158.1484375, 122.993423461914, 146.970474243164]",1
21,"[143.370513916016, 148.862396240234, 92.4859619140625]",60,"[148.658752441406, 145.612274169922, 144.978363037109]",1
21,"[143.370513916016, 148.862396240234, 92.4859619140625]",92,"[128.704620361328, 133.460098266602, 168.202728271484]",1
22,"[144.041473388672, 150.005645751953, 101.785850524902]",13,"[141.510070800781, 183.282073974609, 121.512069702148]",1
22,"[144.041473388672, 150.005645751953, 101.785850524902]",19,"[134.525161743164, 137.630401611328, 79.4138793945313]",1
22,"[144.041473388672, 150.005645751953, 101.785850524902]",20,"[139.903259277344, 145.456604003906, 83.0818939208984]",1
22,"[144.041473388672, 150.005645751953, 101.785850524902]",21,"[143.370513916016, 148.862396240234, 92.4859619140625]",1
22,"[144.041473388672, 150.005645751953, 101.785850524902]",23,"[149.880966186523, 157.535461425781, 109.604438781738]",1
22,"[144.041473388672, 150.005645751953, 101.785850524902]",57,"[141.585845947266, 172.507766723633, 137.766143798828]",1
22,"[144.041473388672, 150.005645751953, 101.785850524902]",58,"[145.272644042969, 165.029968261719, 141.507080078125]",1
22,"[144.041473388672, 150.005645751953, 101.785850524902]",59,"[147.387954711914, 154.761169433594, 144.278991699219]",1
22,"[144.041473388672, 150.005645751953, 101.785850524902]",60,"[148.658752441406, 145.612274169922, 144.978363037109]",1
22,"[144.041473388672, 150.005645751953, 101.785850524902]",61,"[152.337371826172, 136.531280517578, 148.623443603516]",1
22,"[144.041473388672, 150.005645751953, 101.785850524902]",62,"[153.248168945313, 128.083526611328, 150.412384033203]",1
22,"[144.041473388672, 150.005645751953, 101.785850524902]",63,"[156.858428955078, 120.272644042969, 153.920471191406]",1
22,"[144.041473388672, 150.005645751953, 101.785850524902]",64,"[159.923980712891, 106.975082397461, 154.952331542969]",1
22,"[144.041473388672, 150.005645751953, 101.785850524902]",69,"[148.403366088867, 133.275024414063, 154.729370117188]",1
22,"[144.041473388672, 150.005645751953, 101.785850524902]",70,"[151.385025024414, 123.832473754883, 157.891616821289]",1
22,"[144.041473388672, 150.005645751953, 101.785850524902]",72,"[158.27294921875, 102.543960571289, 160.457229614258]",1
22,"[144.041473388672, 150.005645751953, 101.785850524902]",77,"[143.384338378906, 133.111267089844, 160.524078369141]",1
22,"[144.041473388672, 150.005645751953, 101.785850524902]",78,"[147.340835571289, 121.565628051758, 163.375396728516]",1
22,"[144.041473388672, 150.005645751953, 101.785850524902]",79,"[152.297546386719, 110.439277648926, 165.796768188477]",1
22,"[144.041473388672, 150.005645751953, 101.785850524902]",80,"[154.009948730469, 99.6354827880859, 164.822769165039]",1
22,"[144.041473388672, 150.005645751953, 101.785850524902]",81,"[127.291488647461, 165.8056640625, 155.817199707031]",1
22,"[144.041473388672, 150.005645751953, 101.785850524902]",85,"[140.277969360352, 127.609336853027, 166.846221923828]",1
22,"[144.041473388672, 150.005645751953, 101.785850524902]",86,"[142.474761962891, 114.694999694824, 168.628967285156]",1
22,"[144.041473388672, 150.005645751953, 101.785850524902]",87,"[143.150955200195, 102.914924621582, 168.487869262695]",1
22,"[144.041473388672, 150.005645751953, 101.785850524902]",89,"[123.24536895752, 163.177642822266, 160.847427368164]",1
22,"[144.041473388672, 150.005645751953, 101.785850524902]",94,"[139.751235961914, 109.109580993652, 176.829193115234]",1
22,"[144.041473388672, 150.005645751953, 101.785850524902]",95,"[142.112106323242, 98.2465896606445, 177.792465209961]",1
22,"[144.041473388672, 150.005645751953, 101.785850524902]",96,"[145.032943725586, 88.1519393920898, 178.122940063477]",1
22,"[144.041473388672, 150.005645751953, 101.785850524902]",102,"[135.048889160156, 103.178604125977, 186.348114013672]",1
22,"[144.041473388672, 150.005645751953, 101.785850524902]",104,"[139.82746887207, 80.8504486083984, 184.762222290039]",1
23,"[149.880966186523, 157.535461425781, 109.604438781738]",20,"[139.903259277344, 145.456604003906, 83.0818939208984]",1
23,"[149.880966186523, 157.535461425781, 109.604438781738]",22,"[144.041473388672, 150.005645751953, 101.785850524902]",1
23,"[149.880966186523, 157.535461425781, 109.604438781738]",57,"[141.585845947266, 172.507766723633, 137.766143798828]",1
23,"[149.880966186523, 157.535461425781, 109.604438781738]",58,"[145.272644042969, 165.029968261719, 141.507080078125]",1
23,"[149.880966186523, 157.535461425781, 109.604438781738]",59,"[147.387954711914, 154.761169433594, 144.278991699219]",1
23,"[149.880966186523, 157.535461425781, 109.604438781738]",60,"[148.658752441406, 145.612274169922, 144.978363037109]",1
23,"[149.880966186523, 157.535461425781, 109.604438781738]",61,"[152.337371826172, 136.531280517578, 148.623443603516]",1
